segment,audio,model,human_ref,model_output,standard_wer,lattice_wer,improvement,helped,n_corrections
17,ting_audio_for_josh/bcmk_TR/hindi/ch_82714_160.47_173.70.wav,model_n,एक दिन पहले या उसी दिन चतुर्थी के दिन लोग उसको लेकर आते हैं मूर्ति को थोड़ा सा फ,एक दिन पहले या उसी दिन चतुर्ती के दिन लोग उसको लेकर आते हैं मूर्ति को थोड़ा सा फ,0.0889,0.0222,0.0667,True,0
18,ng_audio_for_josh/bcmk_TR/hindi/ch_1591175_530.97_536.49.wav,model_H,विविधता और  कीमत के मामले में बाजारों की तुलना मोल से करना।,विविधता और अ कीमत के मामले में बाजारों की तुलना मोल से करना,0.0833,0.0833,0.0,False,7
18,ng_audio_for_josh/bcmk_TR/hindi/ch_1591175_530.97_536.49.wav,model_i,विविधता और  कीमत के मामले में बाजारों की तुलना मोल से करना।,विविधता और कीमत के मामले में बाजारों की तुलना मोल से करना।,0.0,0.0,0.0,False,7
18,ng_audio_for_josh/bcmk_TR/hindi/ch_1591175_530.97_536.49.wav,model_k,विविधता और  कीमत के मामले में बाजारों की तुलना मोल से करना।,विविधता और अ... कीमत के मामले में बाजारों की तुलना मॉल से करना?,0.1667,0.0833,0.0833,True,7
18,ng_audio_for_josh/bcmk_TR/hindi/ch_1591175_530.97_536.49.wav,model_l,विविधता और  कीमत के मामले में बाजारों की तुलना मोल से करना।,विविधता और अः कीमत के मामले में हजारों की तुलना मोल से करना,0.1667,0.0833,0.0833,True,7
18,ng_audio_for_josh/bcmk_TR/hindi/ch_1591175_530.97_536.49.wav,model_m,विविधता और  कीमत के मामले में बाजारों की तुलना मोल से करना।,विविधता और कीमत के ममले में बाजारों की तुलना मूल से करना,0.1667,0.0,0.1667,True,7
18,ng_audio_for_josh/bcmk_TR/hindi/ch_1591175_530.97_536.49.wav,model_n,विविधता और  कीमत के मामले में बाजारों की तुलना मोल से करना।,विविधता और कीमत के मामले में बाजारों की तुलना मोल से करना,0.0,0.0,0.0,False,7
19,ing_audio_for_josh/bcmk_TR/hindi/ch_251777_833.22_842.58.wav,model_H,हाँ और यहाँ पर सारी सुविधा है पार्किंग के लिए भी अलग से उन्होंने फ्लोर बना के रख,हाँ और यहाँ पर सारी सुविधा है पार्किंग के लिए भी अलग से उन्होंने फ्लोर बना के रख,0.0,0.0,0.0,False,1
19,ing_audio_for_josh/bcmk_TR/hindi/ch_251777_833.22_842.58.wav,model_i,हाँ और यहाँ पर सारी सुविधा है पार्किंग के लिए भी अलग से उन्होंने फ्लोर बना के रख,"हाँ और यहाँ पर सारी सुविधा है, पार्किंग के लिए भी अलग से उन्होंने फ्लोर बना के र",0.0,0.0,0.0,False,1
19,ing_audio_for_josh/bcmk_TR/hindi/ch_251777_833.22_842.58.wav,model_k,हाँ और यहाँ पर सारी सुविधा है पार्किंग के लिए भी अलग से उन्होंने फ्लोर बना के रख,"हां और यहां पर सारी सुविधाएँ हैं, पार्किंग के लिए भी अलग से उन्होंने फ्लोर बनाकर",0.2174,0.0435,0.1739,True,1
19,ing_audio_for_josh/bcmk_TR/hindi/ch_251777_833.22_842.58.wav,model_l,हाँ और यहाँ पर सारी सुविधा है पार्किंग के लिए भी अलग से उन्होंने फ्लोर बना के रख,हाँ और यहाँ पर सारी सुविधाएं पार्किंग के लिए भी अलग से उन्हने फ्लोर बना के रखा ह,0.1304,0.0435,0.087,True,1
19,ing_audio_for_josh/bcmk_TR/hindi/ch_251777_833.22_842.58.wav,model_m,हाँ और यहाँ पर सारी सुविधा है पार्किंग के लिए भी अलग से उन्होंने फ्लोर बना के रख,हा और यहां पर सारी सुविधा है पार्किंग के लिए भी अलग से उनने फ्लोर बनाकर रखा हुआ ,0.2174,0.0435,0.1739,True,1
19,ing_audio_for_josh/bcmk_TR/hindi/ch_251777_833.22_842.58.wav,model_n,हाँ और यहाँ पर सारी सुविधा है पार्किंग के लिए भी अलग से उन्होंने फ्लोर बना के रख,हां और यहां पर सारी सुविधा है पार्किंग के लिए भी अलग से उन्हें फ्लोर बना के रखा ,0.1304,0.0,0.1304,True,1
20,ting_audio_for_josh/bcmk_TR/hindi/ch_29151_299.07_312.81.wav,model_H,बाहर का वो जैसे कि आने जाने में जो स्ट्रगल रहा कि वहाँ पे जैसे गए तो रात में मतल,बाहर का वो जैसे कि आने जाने में जो स्ट्रगल रहा कि वहाँ पे जैसे गए तो रात में मतल,0.0244,0.0244,0.0,False,0
20,ting_audio_for_josh/bcmk_TR/hindi/ch_29151_299.07_312.81.wav,model_i,बाहर का वो जैसे कि आने जाने में जो स्ट्रगल रहा कि वहाँ पे जैसे गए तो रात में मतल,बाहर का वो जैसे कि आने जाने में जो स्ट्रगल रहा कि वहाँ पे जैसे गए तो रात में मतल,0.0,0.0,0.0,False,0
20,ting_audio_for_josh/bcmk_TR/hindi/ch_29151_299.07_312.81.wav,model_k,बाहर का वो जैसे कि आने जाने में जो स्ट्रगल रहा कि वहाँ पे जैसे गए तो रात में मतल,बाहर का वो जैसे कि आने जाने में जो स्ट्रगल रहा कि वहां पे जैसे गए तो रात में मतल,0.0488,0.0,0.0488,True,0
20,ting_audio_for_josh/bcmk_TR/hindi/ch_29151_299.07_312.81.wav,model_l,बाहर का वो जैसे कि आने जाने में जो स्ट्रगल रहा कि वहाँ पे जैसे गए तो रात में मतल,बाहर का वो जैसे की आने जाने में जो स्ट्र्गल रहा कि वहाँ पे जैसे गए तो रात में मत,0.0488,0.0,0.0488,True,0
20,ting_audio_for_josh/bcmk_TR/hindi/ch_29151_299.07_312.81.wav,model_m,बाहर का वो जैसे कि आने जाने में जो स्ट्रगल रहा कि वहाँ पे जैसे गए तो रात में मतल,बाहर का वो जैसे कि आने जाने में जो स्ट्रगल रहा कि वहां पे जैसे गएं तो रात में मत,0.1707,0.0488,0.122,True,0
20,ting_audio_for_josh/bcmk_TR/hindi/ch_29151_299.07_312.81.wav,model_n,बाहर का वो जैसे कि आने जाने में जो स्ट्रगल रहा कि वहाँ पे जैसे गए तो रात में मतल,बाहर का वह जैसे की आने-जाने में जो स्ट्रगल रहा की वहां पर जैसे गए तो रात में मतल,0.1707,0.0,0.1707,True,0
21,ing_audio_for_josh/bcmk_TR/hindi/ch_701191_638.49_652.05.wav,model_H,और या फिर मुस्कुरा कर कह दो कि हाँ नानी आप तो अगले महीने अब घर चल रही हैं मैं अब,और या फिर मुस्कुरा कर कहे दो कि हाँ नानी आप तो अगले महीने अब घर चल रही हैं मैं अ,0.025,0.0,0.025,True,0
21,ing_audio_for_josh/bcmk_TR/hindi/ch_701191_638.49_652.05.wav,model_i,और या फिर मुस्कुरा कर कह दो कि हाँ नानी आप तो अगले महीने अब घर चल रही हैं मैं अब,और या फिर मुस्कुरा कर कह दो कि हाँ नानी आप तो अगले महीने अब घर चल रही हैं मैं अब,0.0,0.0,0.0,False,0
21,ing_audio_for_josh/bcmk_TR/hindi/ch_701191_638.49_652.05.wav,model_k,और या फिर मुस्कुरा कर कह दो कि हाँ नानी आप तो अगले महीने अब घर चल रही हैं मैं अब,"और आप फिर मुस्कुरा कर कह दो कि हां नानी, आप तो अगले महीने अब घर चल रही हैं। मैं ",0.075,0.0,0.075,True,0
21,ing_audio_for_josh/bcmk_TR/hindi/ch_701191_638.49_652.05.wav,model_l,और या फिर मुस्कुरा कर कह दो कि हाँ नानी आप तो अगले महीने अब घर चल रही हैं मैं अब,और या फिर मुस्कुरा कर कह द कि हाँ नानी आप तो अगले महीने अब घर चल रही हैं मैं अब ,0.05,0.0,0.05,True,0
21,ing_audio_for_josh/bcmk_TR/hindi/ch_701191_638.49_652.05.wav,model_m,और या फिर मुस्कुरा कर कह दो कि हाँ नानी आप तो अगले महीने अब घर चल रही हैं मैं अब,और या फिर मुस्कुरा कर कहदो कि हां नानी आपतो अगले महीने आप घर चल रही हैं मैं आपकी,0.25,0.075,0.175,True,0
21,ing_audio_for_josh/bcmk_TR/hindi/ch_701191_638.49_652.05.wav,model_n,और या फिर मुस्कुरा कर कह दो कि हाँ नानी आप तो अगले महीने अब घर चल रही हैं मैं अब,और या फिर मुस्कुराकर कहते हैं तो कि हानानी आप तो अगले महीने अब घर चल रही हैं मैं,0.2,0.025,0.175,True,0
22,ng_audio_for_josh/bcmk_TR/hindi/ch_1545383_331.02_336.06.wav,model_H,अच्छा चलिए अच्छा हुआ आपने ये सारी इंफॉर्मेशन मुझे बता दी कि मैं अपने आगे ध्यान र,अच्छा चलिए अच्छा हुआ आपने ये सारी इंफॉर्मेशन मुझे बता दी कि मैं अपने आगे ध्यान र,0.0,0.0,0.0,False,0
22,ng_audio_for_josh/bcmk_TR/hindi/ch_1545383_331.02_336.06.wav,model_i,अच्छा चलिए अच्छा हुआ आपने ये सारी इंफॉर्मेशन मुझे बता दी कि मैं अपने आगे ध्यान र,अच्छा चलिए अच्छा हुआ आपने ये सारी इंफॉर्मेशन मुझे बता दी कि मैं अपने आगे ध्यान र,0.0,0.0,0.0,False,0
22,ng_audio_for_josh/bcmk_TR/hindi/ch_1545383_331.02_336.06.wav,model_k,अच्छा चलिए अच्छा हुआ आपने ये सारी इंफॉर्मेशन मुझे बता दी कि मैं अपने आगे ध्यान र,अच्छा चलिए अच्छा हुआ आपने ये सारी इंफॉर्मेशन मुझे बता दी कि मैं अपने आगे ध्यान र,0.0588,0.0,0.0588,True,0
22,ng_audio_for_josh/bcmk_TR/hindi/ch_1545383_331.02_336.06.wav,model_l,अच्छा चलिए अच्छा हुआ आपने ये सारी इंफॉर्मेशन मुझे बता दी कि मैं अपने आगे ध्यान र,अच्छा चलिए अच्छा हुआ आपने ये सारी इनफॉरमेशन मुझे बता दी कि मैं अपने आगे ध्यान रख,0.0588,0.0,0.0588,True,0
22,ng_audio_for_josh/bcmk_TR/hindi/ch_1545383_331.02_336.06.wav,model_m,अच्छा चलिए अच्छा हुआ आपने ये सारी इंफॉर्मेशन मुझे बता दी कि मैं अपने आगे ध्यान र,अच्छा ्चलिए अच्छा हुआ आपने यह सारी इनफॉर्मेशन मुझे बता दी कि मैं अपने आगे ध्यान ,0.2353,0.0,0.2353,True,0
22,ng_audio_for_josh/bcmk_TR/hindi/ch_1545383_331.02_336.06.wav,model_n,अच्छा चलिए अच्छा हुआ आपने ये सारी इंफॉर्मेशन मुझे बता दी कि मैं अपने आगे ध्यान र,अच्छा चलिए अच्छा हुआ आपने यह सारी इन्फॉर्मेशन मुझे बता दी की मैं अपने आगे ध्यान ,0.2353,0.0,0.2353,True,0
23,ng_audio_for_josh/bcmk_TR/hindi/ch_1605071_277.98_280.86.wav,model_H,और एक तो मतलब बारहवीं पास होने के बाद ना आप इतने होशियार भी नहीं होते हो,और एक तो मतलब बारहवीं पास होने के बाद ना आप इतने होशियार भी नहीं होते हो,0.0,0.0,0.0,False,0
23,ng_audio_for_josh/bcmk_TR/hindi/ch_1605071_277.98_280.86.wav,model_i,और एक तो मतलब बारहवीं पास होने के बाद ना आप इतने होशियार भी नहीं होते हो,और एक तो मतलब बारहवीं पास होने के बाद ना आप इतने होशियार भी नहीं होते हो।,0.0,0.0,0.0,False,0
23,ng_audio_for_josh/bcmk_TR/hindi/ch_1605071_277.98_280.86.wav,model_k,और एक तो मतलब बारहवीं पास होने के बाद ना आप इतने होशियार भी नहीं होते हो,और एक तो मतलब बारहवीं पास होने के बाद ना अब इतने होशियार भी नहीं होते हो।,0.0588,0.0,0.0588,True,0
23,ng_audio_for_josh/bcmk_TR/hindi/ch_1605071_277.98_280.86.wav,model_l,और एक तो मतलब बारहवीं पास होने के बाद ना आप इतने होशियार भी नहीं होते हो,और एक तो मतलब बारहवीं पास होने के बाद नाप इतने होशियार भी नहीं होते हो,0.1176,0.0588,0.0588,True,0
23,ng_audio_for_josh/bcmk_TR/hindi/ch_1605071_277.98_280.86.wav,model_m,और एक तो मतलब बारहवीं पास होने के बाद ना आप इतने होशियार भी नहीं होते हो,और एक तो मतलब बार्मी पास होने के बाद ना आप इतने होशियार भी नहीं होते हो,0.0588,0.0,0.0588,True,0
23,ng_audio_for_josh/bcmk_TR/hindi/ch_1605071_277.98_280.86.wav,model_n,और एक तो मतलब बारहवीं पास होने के बाद ना आप इतने होशियार भी नहीं होते हो,और एक तो मतलब बारहवीं पास होने के बाद ना आप इतने होशियार भी नहीं होते हो,0.0,0.0,0.0,False,0
24,ng_audio_for_josh/bcmk_TR/hindi/ch_1645639_304.05_310.53.wav,model_H,दूसरी जाति में तो शादी होती ही नहीं है राजस्थान में बहुत बवाल होता है देखा जाए त,दूसरी जाति में तो शादी होती ही नहीं है राजस्थान बहुत बवाल होता है देखा जाए तो,0.0556,0.0556,0.0,False,0
24,ng_audio_for_josh/bcmk_TR/hindi/ch_1645639_304.05_310.53.wav,model_i,दूसरी जाति में तो शादी होती ही नहीं है राजस्थान में बहुत बवाल होता है देखा जाए त,दूसरी जाति में तो शादी होती ही नहीं है राजस्थान में बहुत बवाल होता है देखा जाए त,0.0,0.0,0.0,False,0
24,ng_audio_for_josh/bcmk_TR/hindi/ch_1645639_304.05_310.53.wav,model_k,दूसरी जाति में तो शादी होती ही नहीं है राजस्थान में बहुत बवाल होता है देखा जाए त,"दूसरी जाति में तो शादी होती ही नहीं है। राजस्थान में बहुत बवाल होता है, देखा जाए",0.0,0.0,0.0,False,0
24,ng_audio_for_josh/bcmk_TR/hindi/ch_1645639_304.05_310.53.wav,model_l,दूसरी जाति में तो शादी होती ही नहीं है राजस्थान में बहुत बवाल होता है देखा जाए त,दूसरी जाती म तो शादी होती ही नहीं है राजस्थान में बहुत बवाल होता है देखा जाए तो,0.1111,0.0,0.1111,True,0
24,ng_audio_for_josh/bcmk_TR/hindi/ch_1645639_304.05_310.53.wav,model_m,दूसरी जाति में तो शादी होती ही नहीं है राजस्थान में बहुत बवाल होता है देखा जाए त,दूसरी जाति में तो शादी होती ही नहीं है राजस्थान मे बहुत बवाल होता है देखा जायए त,0.1111,0.0,0.1111,True,0
24,ng_audio_for_josh/bcmk_TR/hindi/ch_1645639_304.05_310.53.wav,model_n,दूसरी जाति में तो शादी होती ही नहीं है राजस्थान में बहुत बवाल होता है देखा जाए त,दूसरी जाति में तो शादी होती ही नहीं राजस्थान बहुत बवाल होता है देखा जाए तो,0.1111,0.1111,0.0,False,0
25,ing_audio_for_josh/bcmk_TR/hindi/ch_677501_165.18_169.23.wav,model_H,तो वो क्या फिर जीवाणु फिर वो क्या है उनमें जीव नहीं होता क्या होता है जी,तो वो क्या वो जीवानों फिर वो क्या है उनमें जीव नहीं होता क्या होता है जी,0.1176,0.0,0.1176,True,0
25,ing_audio_for_josh/bcmk_TR/hindi/ch_677501_165.18_169.23.wav,model_i,तो वो क्या फिर जीवाणु फिर वो क्या है उनमें जीव नहीं होता क्या होता है जी,तो वो क्या फिर जीवाणु फिर वो क्या है उनमें जीव नहीं होता क्या होता है? जी।,0.0,0.0,0.0,False,0
25,ing_audio_for_josh/bcmk_TR/hindi/ch_677501_165.18_169.23.wav,model_k,तो वो क्या फिर जीवाणु फिर वो क्या है उनमें जीव नहीं होता क्या होता है जी,"तो वो क्या फिर जीवाणु फिर वो क्या है? उनमें जीव नहीं होता, क्या होता है जी?",0.0,0.0,0.0,False,0
25,ing_audio_for_josh/bcmk_TR/hindi/ch_677501_165.18_169.23.wav,model_l,तो वो क्या फिर जीवाणु फिर वो क्या है उनमें जीव नहीं होता क्या होता है जी,तो वो क्या जीवाणु फिर वो क्या है उनमें जीव नहीं होता है क्या होता है जी,0.1176,0.0,0.1176,True,0
25,ing_audio_for_josh/bcmk_TR/hindi/ch_677501_165.18_169.23.wav,model_m,तो वो क्या फिर जीवाणु फिर वो क्या है उनमें जीव नहीं होता क्या होता है जी,तो वो क्या  जीवाणो फिर वो क्या उनमें जीव नहीं होता  क्या होता है जी,0.1765,0.1176,0.0588,True,0
25,ing_audio_for_josh/bcmk_TR/hindi/ch_677501_165.18_169.23.wav,model_n,तो वो क्या फिर जीवाणु फिर वो क्या है उनमें जीव नहीं होता क्या होता है जी,तो वो क्या पर जीवाणु फिर वो क्या है उनमें जीव नहीं होता क्या होता है जी,0.0588,0.0,0.0588,True,0
26,ing_audio_for_josh/bcmk_TR/hindi/ch_687596_884.16_888.18.wav,model_H,तो एक भारतीय होने के नाते मुझे लगता है इतनी तो इंसानियत सब में होनी चाहिए,तो एक भारतीय होने के नाथ से मुझे लगता है इतनी तो इंसानियत सब में होनी चाहिए,0.125,0.0625,0.0625,True,0
26,ing_audio_for_josh/bcmk_TR/hindi/ch_687596_884.16_888.18.wav,model_i,तो एक भारतीय होने के नाते मुझे लगता है इतनी तो इंसानियत सब में होनी चाहिए,तो एक भारतीय होने के नाते मुझे लगता है इतनी तो इंसानियत सब में होनी चाहिए,0.0,0.0,0.0,False,0
26,ing_audio_for_josh/bcmk_TR/hindi/ch_687596_884.16_888.18.wav,model_k,तो एक भारतीय होने के नाते मुझे लगता है इतनी तो इंसानियत सब में होनी चाहिए,तो एक भारतीय होने के नाते मुझे लगता है इतनी तो इंसानियत सब में होनी चाहिए।,0.0,0.0,0.0,False,0
26,ing_audio_for_josh/bcmk_TR/hindi/ch_687596_884.16_888.18.wav,model_l,तो एक भारतीय होने के नाते मुझे लगता है इतनी तो इंसानियत सब में होनी चाहिए,एक भारतीय होने के नाते मुझे लगता है इतनी तो इंसान है सब में होनी चाहिए,0.1875,0.0,0.1875,True,0
26,ing_audio_for_josh/bcmk_TR/hindi/ch_687596_884.16_888.18.wav,model_m,तो एक भारतीय होने के नाते मुझे लगता है इतनी तो इंसानियत सब में होनी चाहिए,तो एक भारतीय होने के नाते मुझे लगता है इतनी तो इंसानियत सब में होनी चाहिए,0.0,0.0,0.0,False,0
26,ing_audio_for_josh/bcmk_TR/hindi/ch_687596_884.16_888.18.wav,model_n,तो एक भारतीय होने के नाते मुझे लगता है इतनी तो इंसानियत सब में होनी चाहिए,तो एक भारतीय होने के नाते मुझे लगता है इतनी तो इंसानियत सब में होनी चाहिए,0.0,0.0,0.0,False,0
27,ting_audio_for_josh/bcmk_TR/hindi/ch_86623_459.03_465.21.wav,model_H,लाइक रविवार को कॉलेज की भी छुट्टी रहती है तो मैं भी उस दिन सोती रहती हूँ,लाइक रविवार को कॉलेज की भी छुट्टी रहती है तो मैं भी उस दिन सोती रहती हूँ,0.0,0.0,0.0,False,0
27,ting_audio_for_josh/bcmk_TR/hindi/ch_86623_459.03_465.21.wav,model_i,लाइक रविवार को कॉलेज की भी छुट्टी रहती है तो मैं भी उस दिन सोती रहती हूँ,लाइक रविवार को कॉलेज की भी छुट्टी रहती है तो मैं भी उस दिन सोती रहती हूँ,0.0,0.0,0.0,False,0
27,ting_audio_for_josh/bcmk_TR/hindi/ch_86623_459.03_465.21.wav,model_k,लाइक रविवार को कॉलेज की भी छुट्टी रहती है तो मैं भी उस दिन सोती रहती हूँ,"लाइक रविवार को कॉलेज की भी छुट्टी रहती है, तो मैं भी उस दिन सोती रहती हूं।",0.0,0.0,0.0,False,0
27,ting_audio_for_josh/bcmk_TR/hindi/ch_86623_459.03_465.21.wav,model_l,लाइक रविवार को कॉलेज की भी छुट्टी रहती है तो मैं भी उस दिन सोती रहती हूँ,लीके रविवार को कॉलेज की भी छुट्टी रहती है तो मैं भी उस दिन सोती रहती हूं,0.0588,0.0,0.0588,True,0
27,ting_audio_for_josh/bcmk_TR/hindi/ch_86623_459.03_465.21.wav,model_m,लाइक रविवार को कॉलेज की भी छुट्टी रहती है तो मैं भी उस दिन सोती रहती हूँ,लाइक रविवार को कॉलेज की भी छुट्टी रहती है तो मैं भी उस दिन सोती रहती हूं,0.0,0.0,0.0,False,0
27,ting_audio_for_josh/bcmk_TR/hindi/ch_86623_459.03_465.21.wav,model_n,लाइक रविवार को कॉलेज की भी छुट्टी रहती है तो मैं भी उस दिन सोती रहती हूँ,लाइक रविवार को कॉलेज की भी छुट्टी रहती है तो मैं भी उसे दिन सोती रहती हूं,0.0588,0.0,0.0588,True,0
28,ng_audio_for_josh/bcmk_TR/hindi/ch_1630165_819.36_821.07.wav,model_H,तकनीकी युग में क्यों टिके हुए हैं,तकनीकी युग में क्यों टिके हुए हैं,0.0,0.0,0.0,False,0
28,ng_audio_for_josh/bcmk_TR/hindi/ch_1630165_819.36_821.07.wav,model_i,तकनीकी युग में क्यों टिके हुए हैं,तकनीकी युग में क्यों टिके हुए हैं?,0.0,0.0,0.0,False,0
28,ng_audio_for_josh/bcmk_TR/hindi/ch_1630165_819.36_821.07.wav,model_k,तकनीकी युग में क्यों टिके हुए हैं,तकनीकी युग में क्यों टिके हुए हैं?,0.0,0.0,0.0,False,0
28,ng_audio_for_josh/bcmk_TR/hindi/ch_1630165_819.36_821.07.wav,model_l,तकनीकी युग में क्यों टिके हुए हैं,तकनीकी युग में क्यूटी किए हु है,0.4286,0.0,0.4286,True,0
28,ng_audio_for_josh/bcmk_TR/hindi/ch_1630165_819.36_821.07.wav,model_m,तकनीकी युग में क्यों टिके हुए हैं,तकनीकी उग में क्यों टिके वे है,0.2857,0.0,0.2857,True,0
28,ng_audio_for_josh/bcmk_TR/hindi/ch_1630165_819.36_821.07.wav,model_n,तकनीकी युग में क्यों टिके हुए हैं,तकनीकी युग में क्यों टिके में आए,0.2857,0.0,0.2857,True,0
29,ng_audio_for_josh/bcmk_TR/hindi/ch_1696291_166.83_171.84.wav,model_H,प्रयागराज अभी कुंभ मेला लगा था। ना,प्रयागराज अभी कुंभ मेला लगा था ना,0.0,0.0,0.0,False,0
29,ng_audio_for_josh/bcmk_TR/hindi/ch_1696291_166.83_171.84.wav,model_i,प्रयागराज अभी कुंभ मेला लगा था। ना,प्रयागराज अभी कुंभ मेला लगा था ना।,0.0,0.0,0.0,False,0
29,ng_audio_for_josh/bcmk_TR/hindi/ch_1696291_166.83_171.84.wav,model_k,प्रयागराज अभी कुंभ मेला लगा था। ना,प्रयागराज अभी कुंभ मेला लगा था ना?,0.0,0.0,0.0,False,0
29,ng_audio_for_josh/bcmk_TR/hindi/ch_1696291_166.83_171.84.wav,model_l,प्रयागराज अभी कुंभ मेला लगा था। ना,प्रयागराज अभी कुंभ मेला लगा था ना,0.0,0.0,0.0,False,0
29,ng_audio_for_josh/bcmk_TR/hindi/ch_1696291_166.83_171.84.wav,model_m,प्रयागराज अभी कुंभ मेला लगा था। ना,प्र्यागराज अभी कुंब मेला लगा था ना,0.2857,0.0,0.2857,True,0
29,ng_audio_for_josh/bcmk_TR/hindi/ch_1696291_166.83_171.84.wav,model_n,प्रयागराज अभी कुंभ मेला लगा था। ना,प्रयाग राज अभी कुंभ मेला लगा था ना,0.2857,0.1429,0.1429,True,0
30,ing_audio_for_josh/bcmk_TR/hindi/ch_452230_612.90_615.27.wav,model_H,आपका दिन शुभ हो धन्यवाद शुभ रात्रि,आपका दिन शुभ हो धन्यवाद शुभ रात्रि,0.0,0.0,0.0,False,0
30,ing_audio_for_josh/bcmk_TR/hindi/ch_452230_612.90_615.27.wav,model_i,आपका दिन शुभ हो धन्यवाद शुभ रात्रि,"आपका दिन शुभ हो, धन्यवाद, शुभ रात्रि।",0.0,0.0,0.0,False,0
30,ing_audio_for_josh/bcmk_TR/hindi/ch_452230_612.90_615.27.wav,model_k,आपका दिन शुभ हो धन्यवाद शुभ रात्रि,"आपका दिन शुभ हो! धन्यवाद, शुभ रात्रि।",0.0,0.0,0.0,False,0
30,ing_audio_for_josh/bcmk_TR/hindi/ch_452230_612.90_615.27.wav,model_l,आपका दिन शुभ हो धन्यवाद शुभ रात्रि,आपका दिन शुभ हो धन्यवाद शुभरात्रि,0.2857,0.1429,0.1429,True,0
30,ing_audio_for_josh/bcmk_TR/hindi/ch_452230_612.90_615.27.wav,model_m,आपका दिन शुभ हो धन्यवाद शुभ रात्रि,आपका दिन शुब हो धन्यवाद शुब रात्री,0.4286,0.0,0.4286,True,0
30,ing_audio_for_josh/bcmk_TR/hindi/ch_452230_612.90_615.27.wav,model_n,आपका दिन शुभ हो धन्यवाद शुभ रात्रि,आपका दिन शुभ हो धन्यवाद शुभ रात्रि,0.0,0.0,0.0,False,0
31,esting_audio_for_josh/bcmk_TR/hindi/ch_85774_16.68_21.09.wav,model_H,पहाड़ी इलाकों या समुंदर किनारे जैसे बेहतरीन घरों के बारे में बात करना है,पहाड़ी इलाकों या समुद्र किनारे जैसे बेहतरीन घरों के बारे में बात करना है,0.0714,0.0,0.0714,True,0
31,esting_audio_for_josh/bcmk_TR/hindi/ch_85774_16.68_21.09.wav,model_i,पहाड़ी इलाकों या समुंदर किनारे जैसे बेहतरीन घरों के बारे में बात करना है,पहाड़ी इलाकों या समुंदर किनारे जैसे बेहतरीन घरों के बारे में बात करना है।,0.0714,0.0,0.0714,True,0
31,esting_audio_for_josh/bcmk_TR/hindi/ch_85774_16.68_21.09.wav,model_k,पहाड़ी इलाकों या समुंदर किनारे जैसे बेहतरीन घरों के बारे में बात करना है,पहाड़ी इलाकों या समुद्र किनारे जैसे बेहतरीन घरों के बारे में बात करना है।,0.1429,0.0,0.1429,True,0
31,esting_audio_for_josh/bcmk_TR/hindi/ch_85774_16.68_21.09.wav,model_l,पहाड़ी इलाकों या समुंदर किनारे जैसे बेहतरीन घरों के बारे में बात करना है,पहाड़ी इलाकों या समुंद्र किनारे जैसे बेहतरीन घरों के बारे में बात करना है,0.0714,0.0,0.0714,True,0
31,esting_audio_for_josh/bcmk_TR/hindi/ch_85774_16.68_21.09.wav,model_m,पहाड़ी इलाकों या समुंदर किनारे जैसे बेहतरीन घरों के बारे में बात करना है,पहाड़ी इलाकों या समुंदर किनारे जैसे बेहतरीन घरों के बारे में बात करना है,0.0,0.0,0.0,False,0
31,esting_audio_for_josh/bcmk_TR/hindi/ch_85774_16.68_21.09.wav,model_n,पहाड़ी इलाकों या समुंदर किनारे जैसे बेहतरीन घरों के बारे में बात करना है,पहाड़ी इलाकों या समुंदर किनारे जैसे बेहतरीन घरों के बारे में बात करना है,0.0,0.0,0.0,False,0
32,ting_audio_for_josh/bcmk_TR/hindi/ch_88787_386.58_389.37.wav,model_H,दिखाओ वाकई वाकई सही बोल रहे हो,दिखाओ वाकई वाकई सही बोल रहे हो,0.0,0.0,0.0,False,0
32,ting_audio_for_josh/bcmk_TR/hindi/ch_88787_386.58_389.37.wav,model_i,दिखाओ वाकई वाकई सही बोल रहे हो,दिखाओ वाकई वाकई सही बोल रहे हो,0.0,0.0,0.0,False,0
32,ting_audio_for_josh/bcmk_TR/hindi/ch_88787_386.58_389.37.wav,model_k,दिखाओ वाकई वाकई सही बोल रहे हो,"दिखाओ वाकई, वाकई सही बोल रहे हो।",0.0,0.0,0.0,False,0
32,ting_audio_for_josh/bcmk_TR/hindi/ch_88787_386.58_389.37.wav,model_l,दिखाओ वाकई वाकई सही बोल रहे हो,दिखाओ वाकई वाकई सही बोल रहे हो,0.0,0.0,0.0,False,0
32,ting_audio_for_josh/bcmk_TR/hindi/ch_88787_386.58_389.37.wav,model_m,दिखाओ वाकई वाकई सही बोल रहे हो,दिखाओ वाकई वाकई सही बोल  रहहे हो,0.1429,0.0,0.1429,True,0
32,ting_audio_for_josh/bcmk_TR/hindi/ch_88787_386.58_389.37.wav,model_n,दिखाओ वाकई वाकई सही बोल रहे हो,दिखाओ वाकई वाकई सही बोल रहे हो,0.0,0.0,0.0,False,0
33,ng_audio_for_josh/bcmk_TR/hindi/ch_1604702_539.04_545.67.wav,model_H,तो भारत तो एक खुद से ही गिफ्टेड लैंड है तो हमें इसको एक्सप्लोर करना चाहिए देखना ,तो भारत तो एक खुद से ही गिफ्टेड लैंड है तो हमें इसको एक्सप्लोर करना चाहिए देखना ,0.0,0.0,0.0,False,0
