reference,raw_asr,asr_number_normalized,number_norm_reasoning,asr_english_tagged,english_detection_reasoning,asr_full_pipeline,wer_raw,wer_num_norm,wer_num_delta,wer_impact_reasoning
अच्छा जी,अच्छा जी,अच्छा जी,No number words — no normalization needed.,अच्छा जी,No English words detected — utterance is pure Hindi.,अच्छा जी,0.0,0.0,0.0,Perfect transcription — pipeline had no impact.
हां हां हां मैं यूट्यूब पे वगैरा देखती थी थोड़ा सा वीडियोस वगैरा देखते सब सीखती थी बनाना कैसे बनाते हैं करके हां जी बिल्कुल,"अग, अग, अग, मैं यूटुपे वगेरा देखती थी थोड़ा सा में वीटियोस वगेरा देखती सब सीखती थी बनाना कैसे बनाते हैं करके अग, जे गर खुल","अग, अग, अग, मैं यूटुपे वगेरा देखती थी थोड़ा सा में वीटियोस वगेरा देखती सब सीखती थी बनाना कैसे बनाते हैं करके अग, जे गर खुल",No number words — no normalization needed.,"अग, अग, अग, मैं यूटुपे वगेरा देखती थी थोड़ा सा में वीटियोस वगेरा देखती सब सीखती थी बनाना कैसे बनाते हैं करके अग, जे गर खुल",No English words detected — utterance is pure Hindi.,"अग, अग, अग, मैं यूटुपे वगेरा देखती थी थोड़ा सा में वीटियोस वगेरा देखती सब सीखती थी बनाना कैसे बनाते हैं करके अग, जे गर खुल",56.0,56.0,0.0,No WER change — no number words present in this utterance.
"जी, ये तो होता ही है, जैसे की बचपन में बात अलग था किसी के पास फोन नहीं था तब उतना फोन का जमाना ही नहीं था, अभी क्या है कि फोन का जमाना हो गया तो फोन में ही सब रहते हैं",ज़िसे की बश्पन में बात लग ता किसे के पस फों न नहीं ता तो उतना फों का जमान है नहीं नहीं ता अब एक आए कि फों का जमान हो गया तो फों में सब रहते हैं,ज़िसे की बश्पन में बात लग ता किसे के पस फों न नहीं ता तो उतना फों का जमान है नहीं नहीं ता अब 1 आए कि फों का जमान हो गया तो फों में सब रहते हैं,CONVERTED: 'एक' → 1 (simple). Hindi number words converted to digits.,ज़िसे की बश्पन में बात लग ता किसे के पस फों न नहीं ता तो उतना फों का जमान है नहीं नहीं ता अब एक आए कि फों का जमान हो गया तो फों में सब रहते हैं,No English words detected — utterance is pure Hindi.,ज़िसे की बश्पन में बात लग ता किसे के पस फों न नहीं ता तो उतना फों का जमान है नहीं नहीं ता अब 1 आए कि फों का जमान हो गया तो फों में सब रहते हैं,65.12,65.12,0.0,No WER change — no number words present in this utterance.
निरस्त्र हो गया है आपका कैसा था ये दिनचर्या,अपके के ता ता इज तेंचर्या,अपके के ता ता इज तेंचर्या,No number words — no normalization needed.,अपके के ता ता इज तेंचर्या,No English words detected — utterance is pure Hindi.,अपके के ता ता इज तेंचर्या,100.0,100.0,0.0,No WER change — no number words present in this utterance.
और दूसरों को भी इसमें शामिल करने के लिए जी और जैसे हमारे जी जी और हमें अपने साथ जो दोस्त हमारे फ्रेंड्स है हमारी फैमिली मेंबर है,अगर तुस्रों को भी ज्यामिर कन लेके लिए जी और जी सामारे जी और हमें अबने साज्व जुस या वारे फ्रेंट से है अमारी फेम्मली मेंबर है या वागर तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ त,अगर तुस्रों को भी ज्यामिर कन लेके लिए जी और जी सामारे जी और हमें अबने साज्व जुस या वारे फ्रेंट से है अमारी फेम्मली मेंबर है या वागर तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ त,No number words — no normalization needed.,अगर तुस्रों को भी ज्यामिर कन लेके लिए जी और जी सामारे जी और हमें अबने साज्व जुस या वारे फ्रेंट से है अमारी फेम्मली मेंबर है या वागर तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ त,No English words detected — utterance is pure Hindi.,अगर तुस्रों को भी ज्यामिर कन लेके लिए जी और जी सामारे जी और हमें अबने साज्व जुस या वारे फ्रेंट से है अमारी फेम्मली मेंबर है या वागर तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ तुछ त,128.57,128.57,0.0,No WER change — no number words present in this utterance.
हा .,अग,अग,No number words — no normalization needed.,अग,No English words detected — utterance is pure Hindi.,अग,100.0,100.0,0.0,No WER change — no number words present in this utterance.
"की स्कूटी और उसमें तीन, तीन लोग एंट्री कर रहे हैं एक टायर से",अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे,अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे,No number words — no normalization needed.,अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे,No English words detected — utterance is pure Hindi.,अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे,321.43,321.43,0.0,No WER change — no number words present in this utterance.
हां हां वो सब उसका अलगअलग है ना भक्ति के लिए अलग है तो भक्ति में भी है कि थोड़ा सा यह इतना है तो ज्यादा खोजना नहीं पड़ता है सर कि हम यह गांव कहां पर है नहीं तो बजा रहे थे हिंदी गाना और वह,अगर था बख्टिक के लिया लगा या था बख्टिक में आप ये थोड़ा सा आप ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये �,अगर था बख्टिक के लिया लगा या था बख्टिक में आप ये थोड़ा सा आप ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये �,No number words — no normalization needed.,अगर था बख्टिक के लिया लगा या था बख्टिक में आप ये थोड़ा सा आप ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये �,No English words detected — utterance is pure Hindi.,अगर था बख्टिक के लिया लगा या था बख्टिक में आप ये थोड़ा सा आप ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये ये �,144.68,144.68,0.0,No WER change — no number words present in this utterance.
उसकी आप रेसिपी शेयर कर सकते हैं,उसकी आद रेस्पी शेड कर सकता हैं,उसकी आद रेस्पी शेड कर सकता हैं,No number words — no normalization needed.,उसकी आद रेस्पी शेड कर सकता हैं,No English words detected — utterance is pure Hindi.,उसकी आद रेस्पी शेड कर सकता हैं,57.14,57.14,0.0,No WER change — no number words present in this utterance.
बिल्कुल बिल्कुल,बिल्ग़़्िए ब्रुएँ,बिल्ग़़्िए ब्रुएँ,No number words — no normalization needed.,बिल्ग़़्िए ब्रुएँ,No English words detected — utterance is pure Hindi.,बिल्ग़़्िए ब्रुएँ,100.0,100.0,0.0,No WER change — no number words present in this utterance.
हां हां हां बिल्कुल,"अग, अग, अग, अग, अग, वलकुल","अग, अग, अग, अग, अग, वलकुल",No number words — no normalization needed.,"अग, अग, अग, अग, अग, वलकुल",No English words detected — utterance is pure Hindi.,"अग, अग, अग, अग, अग, वलकुल",150.0,150.0,0.0,No WER change — no number words present in this utterance.
तो अनजान व्यक्ति से भी देखो मैं तो बोल भी नहीं रही उनसे सिर्फ दूर से देखा उन्हें कि ये भीख मांग रही है तो किसका भरोसा करा जाए,तो अजान वक्ती से भी देखो मैं तो बोल भी निरे है उन्फें तो ज़ूर से देखाया उने की ये भीख मांग रही हैं तो किसका बरोसा करा जाया है,तो अजान वक्ती से भी देखो मैं तो बोल भी निरे है उन्फें तो ज़ूर से देखाया उने की ये भीख मांग रही हैं तो किसका बरोसा करा जाया है,No number words — no normalization needed.,तो अजान वक्ती से भी देखो मैं तो बोल भी निरे है उन्फें तो ज़ूर से देखाया उने की ये भीख मांग रही हैं तो किसका बरोसा करा जाया है,No English words detected — utterance is pure Hindi.,तो अजान वक्ती से भी देखो मैं तो बोल भी निरे है उन्फें तो ज़ूर से देखाया उने की ये भीख मांग रही हैं तो किसका बरोसा करा जाया है,48.28,48.28,0.0,No WER change — no number words present in this utterance.
सब कुछ अब चेंज हो चुका है सब कुछ नए तरीके से करना पड़ता है पुराना कुछ भी करो किसी को पसंद नहीं आता है तो बहुत सारी चीज़े हैं और इसमें आपका,अप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप �,अप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप �,No number words — no normalization needed.,अप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप �,No English words detected — utterance is pure Hindi.,अप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप �,172.73,172.73,0.0,No WER change — no number words present in this utterance.
अजीब सा आवाज आने लगा बहुत अजीब सा डर तो इतना लगा था कि अगर कोई आता तो हम टैंट उखाड़ ही बाग जाते लेकिन कुछ आया नहीं ऐसा कुछ हुआ नहीं,अजीब सा अवाज आने लग अप बहात अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अ�,अजीब सा अवाज आने लग अप बहात अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अ�,No number words — no normalization needed.,अजीब सा अवाज आने लग अप बहात अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अ�,No English words detected — utterance is pure Hindi.,अजीब सा अवाज आने लग अप बहात अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अ�,140.62,140.62,0.0,No WER change — no number words present in this utterance.
उनके किस बिशेषअ विशेष गुन को अब आपने अपने जीवन में अपनाना अपनाने की कोशिश की है।,उनके किस भीशेश गुन को आप आपने जीबन में आपनाने की कोशिष की है,उनके किस भीशेश गुन को आप आपने जीबन में आपनाने की कोशिष की है,No number words — no normalization needed.,उनके किस भीशेश गुन को आप आपने जीबन में आपनाने की कोशिष की है,No English words detected — utterance is pure Hindi.,उनके किस भीशेश गुन को आप आपने जीबन में आपनाने की कोशिष की है,52.94,52.94,0.0,No WER change — no number words present in this utterance.
हम्म,भी अग़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़,भी अग़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़,No number words — no normalization needed.,भी अग़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़,No English words detected — utterance is pure Hindi.,भी अग़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़ा वाँ़,2900.0,2900.0,0.0,No WER change — no number words present in this utterance.
जी सर आपका भी दिन शुभ हो,जी सराव का भी देंश्वो,जी सराव का भी देंश्वो,No number words — no normalization needed.,जी सराव का भी देंश्वो,No English words detected — utterance is pure Hindi.,जी सराव का भी देंश्वो,71.43,71.43,0.0,No WER change — no number words present in this utterance.
जी जी,जी जी,जी जी,No number words — no normalization needed.,जी जी,No English words detected — utterance is pure Hindi.,जी जी,0.0,0.0,0.0,Perfect transcription — pipeline had no impact.
अच्छा जी,अच्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्,अच्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्,No number words — no normalization needed.,अच्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्,No English words detected — utterance is pure Hindi.,अच्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्छ यी न्च्,2050.0,2050.0,0.0,No WER change — no number words present in this utterance.
उस समय छुट्टी हो चुकी होती है और मेरे दोस्त जो हैं वो मुझे बताते हैं ऐसा ऐसा रेस हार गए हो तुम गिर गए हो तो वो मतलब काफी मेरे साथ आह बोल सकते हैं कि बड़ा वैसा वाला इंसीडेंट हुआ जो,अदिया तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो त,अदिया तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो त,No number words — no normalization needed.,अदिया तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो त,No English words detected — utterance is pure Hindi.,अदिया तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो त,169.77,169.77,0.0,No WER change — no number words present in this utterance.
"हान जी, हान जी, हान जी, अच्छा जी आपके साथ बात कर, बात करके अच्छा लगा, ओके धन्यवाद",अज़् जी अपके साथ बात कर पात कर के अच्छा लगा अके दहनेवाद,अज़् जी अपके साथ बात कर पात कर के अच्छा लगा अके दहनेवाद,No number words — no normalization needed.,अज़् जी अपके साथ बात कर पात कर के अच्छा लगा अके दहनेवाद,No English words detected — utterance is pure Hindi.,अज़् जी अपके साथ बात कर पात कर के अच्छा लगा अके दहनेवाद,83.33,83.33,0.0,No WER change — no number words present in this utterance.
"वो एक दिन में हमारे यहां भारत में अगर आप दो फोन बना रहे हैं, तो उनका प्रयास ये होता है कि मैं आठ फोन बनाऊं और जितने ज्यादा हो सके पूरी दुनिया में हमारा फोन जाए, हमारे देश की अर्थव्यवस्था अर्थव्यवस्था को",अगर बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बार,अगर बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बार,No number words — no normalization needed.,अगर बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बार,No English words detected — utterance is pure Hindi.,अगर बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बारत्टी बार,97.67,97.67,0.0,No WER change — no number words present in this utterance.
उ हू हां जी उ हूं,बवड़़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बड़ बवड़ �,बवड़़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बड़ बवड़ �,No number words — no normalization needed.,बवड़़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बड़ बवड़ �,No English words detected — utterance is pure Hindi.,बवड़़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बवड़ बड़ बवड़ �,483.33,483.33,0.0,No WER change — no number words present in this utterance.
जी हाँ मतलब इंग्लिश पे एक कारण हो सकता है मतलब उसका,जी अग्लिश पे एक कार्लन हो सकता हैं मगलिश का,जी अग्लिश पे 1 कार्लन हो सकता हैं मगलिश का,CONVERTED: 'एक' → 1 (simple). Hindi number words converted to digits.,जी अग्लिश पे एक कार्लन हो सकता हैं मगलिश का,No English words detected — utterance is pure Hindi.,जी अग्लिश पे 1 कार्लन हो सकता हैं मगलिश का,58.33,66.67,-8.340000000000003,NORMALIZATION HURT: WER worsened by 8.3%. Reference uses Hindi number words — converting to digits caused format mismatch. Shows normalization is not always beneficial.
हां,आँ,आँ,No number words — no normalization needed.,आँ,No English words detected — utterance is pure Hindi.,आँ,100.0,100.0,0.0,No WER change — no number words present in this utterance.
हां हां हो जाता है सही है अगर वो सेम फिल्ड से हो तो फिर जाना आना लगा रहता है जी इसमें भी,अगर उसे में पीऱ्ुसे हो तो पर जानाना लगा रहता है अगर उसे में पीऱ्ुसे हो तो पर जानाना लगा रहता है अगर उस में लिख आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप �,अगर उसे में पीऱ्ुसे हो तो पर जानाना लगा रहता है अगर उसे में पीऱ्ुसे हो तो पर जानाना लगा रहता है अगर उस में लिख आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप �,No number words — no normalization needed.,अगर उसे में पीऱ्ुसे हो तो पर जानाना लगा रहता है अगर उसे में पीऱ्ुसे हो तो पर जानाना लगा रहता है अगर उस में लिख आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप �,No English words detected — utterance is pure Hindi.,अगर उसे में पीऱ्ुसे हो तो पर जानाना लगा रहता है अगर उसे में पीऱ्ुसे हो तो पर जानाना लगा रहता है अगर उस में लिख आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप �,208.7,208.7,0.0,No WER change — no number words present in this utterance.
हु हु हां बिल्कुल बिल्कुल सही बात बोला आपने,बिल्कोड बिल्कोड रहुट रहुट रहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बह�,बिल्कोड बिल्कोड रहुट रहुट रहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बह�,No number words — no normalization needed.,बिल्कोड बिल्कोड रहुट रहुट रहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बह�,No English words detected — utterance is pure Hindi.,बिल्कोड बिल्कोड रहुट रहुट रहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बहुट बह�,355.56,355.56,0.0,No WER change — no number words present in this utterance.
मतलब शाम में हम लोग उसको खेलते थे फिर मम्मी उसको रख देती थी फिर जब अ मतलब ये नवरात्रि वाला आता था फिर उसको वो निकालती थी मतलब हम लोग उस खिलौने को कई सालों तक उसको सम्भाल के मम्मी रखती थीं क्योंकि उस टाइम ऐसा ही था कि मतलब हम लोग।,अदव साम में और हम लोग उसको खेलते ते फिर मम्मि उसको रग देती ति फिर जब मलग ये नवरात्तिवाल आता ता ता फिर उसको वो निकालते थी मुझव अम लोग उस खिलोने को कईई सालो तक उसको वमहाल के मम्मि रखती थी तुछी उस ताई मैं आप आईता कि मुलो,अदव साम में और हम लोग उसको खेलते ते फिर मम्मि उसको रग देती ति फिर जब मलग ये नवरात्तिवाल आता ता ता फिर उसको वो निकालते थी मुझव अम लोग उस खिलोने को कईई सालो तक उसको वमहाल के मम्मि रखती थी तुछी उस ताई मैं आप आईता कि मुलो,No number words — no normalization needed.,अदव साम में और हम लोग उसको खेलते ते फिर मम्मि उसको रग देती ति फिर जब मलग ये नवरात्तिवाल आता ता ता फिर उसको वो निकालते थी मुझव अम लोग उस खिलोने को कईई सालो तक उसको वमहाल के मम्मि रखती थी तुछी उस ताई मैं आप आईता कि मुलो,No English words detected — utterance is pure Hindi.,अदव साम में और हम लोग उसको खेलते ते फिर मम्मि उसको रग देती ति फिर जब मलग ये नवरात्तिवाल आता ता ता फिर उसको वो निकालते थी मुझव अम लोग उस खिलोने को कईई सालो तक उसको वमहाल के मम्मि रखती थी तुछी उस ताई मैं आप आईता कि मुलो,56.6,56.6,0.0,No WER change — no number words present in this utterance.
"तो उसी चीज ने मुझे ऐसे हिम्मत दी है कि हां उतना चाहिए सफल होने के बाद मैं फिर बारबार मेहनत भी करती हूं, बार अगर असफल हो रही हूं फिर भी मैं मेहनत करती हूं जी।",अगर अज़र अज़र हो फिर भी में अईनत करती हों अगर अज़र अज़र हो फिर भी में अईनत करती हों अगर अज़र अज़र हो फिर भी में अईनत करती हों अगर अज़र अज़र हो आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप,अगर अज़र अज़र हो फिर भी में अईनत करती हों अगर अज़र अज़र हो फिर भी में अईनत करती हों अगर अज़र अज़र हो फिर भी में अईनत करती हों अगर अज़र अज़र हो आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप,No number words — no normalization needed.,अगर अज़र अज़र हो फिर भी में अईनत करती हों अगर अज़र अज़र हो फिर भी में अईनत करती हों अगर अज़र अज़र हो फिर भी में अईनत करती हों अगर अज़र अज़र हो आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप,No English words detected — utterance is pure Hindi.,अगर अज़र अज़र हो फिर भी में अईनत करती हों अगर अज़र अज़र हो फिर भी में अईनत करती हों अगर अज़र अज़र हो फिर भी में अईनत करती हों अगर अज़र अज़र हो आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप,132.43,132.43,0.0,No WER change — no number words present in this utterance.
जानकारी देना चाहते हैं,जानकरी दिन जातें,जानकरी दिन जातें,No number words — no normalization needed.,जानकरी दिन जातें,No English words detected — utterance is pure Hindi.,जानकरी दिन जातें,100.0,100.0,0.0,No WER change — no number words present in this utterance.
